above,above
behind,behind
between,between
beside,beside
under,under
babies,babies
dishes,dishes
glasses,glasses
loaves,loaves
stories,stories
beautiful,beautiful
wealthy,wealthy
strong,strong
gentle,gentle
noisy,noisy
dancing,dancing
jumping,jumping
riding,riding
jogging,jogging
skipping,skipping
sunny,sunny
windy,windy
cloudy,cloudy
hungry,hungry
tasty,tasty
